"url","labels","tags"
"003errornotice.com","['nft-minter','n-korea']","['phish-hack']"
"003errornotice.com","['phish-hack']","['phish-hack']"
"004zb.com","['scam']","['scam']"
"01binarygroup.com","['aml']","['phish-hack']"
"01broker.com","['aml']","['phish-hack']"
"01crypto.com","['aml']","['phish-hack']"
"01dazhaxie.com","['scam']","['scam']"
"021jiaxie.com","['scam']","['scam']"
"021jiaxie.xyz","['scam']","['scam']"
"021zhaxie.com","['scam']","['scam']"
"022dazhaxie.com","['scam']","['scam']"
"023dazhaxie.com","['scam']","['scam']"
"023yaxie.com","['scam']","['scam']"
"025dazhaxie.com","['scam']","['scam']"
"028dazhaxie.icu","['scam']","['scam']"
"029dazhaxie.com","['scam']","['scam']"
"08galaxies.com","['scam']","['scam']"
"08galaxies.se","['scam']","['scam']"
"09xchase.us","['scam/phishing']","['scam/phishing']"
"0a23s1d32.xyz","['scam']","['scam']"
"0axie.tk","['scam']","['scam']"
"0d2as1d23as.xyz","['scam']","['scam']"
"0jk7.ruhht.com","['scam/phishing']","['scam/phishing']"
"0n1force-freemint.xyz","['scam']","['scam']"
"0n1force.live","['scam']","['scam']"
"0n1force.wl-nft.xyz","['scam']","['scam']"
"0n1forcenft.xyz","['scam']","['scam']"
"0nifty.com","['scam']","['scam']"
"0opensea.io","['scam']","['scam']"
"0pensea.io","['nft-minter']","['phish-hack']"
"0urbit.com","['scam']","['scam']"
"0vwww-metamas.top","['scam']","['scam']"
"0xmons.art","['scam']","['scam']"
"0xtheta.com","['scam']","['scam']"
"0xtheta.net","['scam']","['scam']"
"10-kilo-abnehmen.net","['scam/phishing']","['scam/phishing']"
"100-taxies.com","['scam']","['scam']"
"100004729.review","['scam/phishing']","['scam/phishing']"
"1000eclats.com","['aml']","['phish-hack']"
"1000exd-prize.com","['scam']","['scam']"
"100136514.review","['scam/phishing']","['scam/phishing']"
"100651732.review","['scam/phishing']","['scam/phishing']"
"101-carats.com","['aml']","['phish-hack']"
"101nftmint.com","['scam']","['scam']"
"103-219-154-102.cprapid.com","['scam/phishing']","['scam/phishing']"
"1067237455.review","['scam/phishing']","['scam/phishing']"
"107dazhaxie.cn","['scam']","['scam']"
"107dazhaxie.com","['scam']","['scam']"
"10ktfshop-freemint.xyz","['scam']","['scam']"
"10relaxies.com","['scam']","['scam']"
"10theta.com","['scam']","['scam']"
"11.dfcf.xyz","['scam/phishing']","['scam/phishing']"
"1126e19981eb1bbfe92b1d1cc4fe7104b044ab2wasassociatedwithexosama.bond","['scam']","['scam']"
"117dazhaxie.tw","['scam']","['scam']"
"11dazhaxie.com","['scam']","['scam']"
"11g91y.cn","['scam/phishing']","['scam/phishing']"
"1234567star.com","['scam']","['scam']"
"123d56sa1zd165.xyz","['scam']","['scam']"
"123dazhaxie.com","['scam']","['scam']"
"123hongshan.cn","['scam']","['scam']"
"123taxiede.nl","['scam']","['scam']"
"123taxiemmen.nl","['scam']","['scam']"
"12d3sa1d5a5s4ds6asa.xyz","['scam']","['scam']"
"12daxiexie.xyz","['scam']","['scam']"
"12galaxies.com","['scam']","['scam']"
